,file_name,spike_number,peak,minAHP,threshold,TTP-peak,TTP-AHP,amplitude,width,1st_latency,Type
43,./Data/PD/N4_PD.txt,8,13.916016,-55.023193,-37.078857,0.9,4.4,50.994873,1.2290999999999996,,PD
44,./Data/PD/N4_PD.txt,9,13.549805,-54.672241,-37.200928,0.9,4.8,50.750733,1.2061000000000002,,PD
45,./Data/PD/N4_PD.txt,10,13.381958,-54.6875,-36.727905,0.9,4.4,50.109863,1.2238,,PD
46,./Data/PD/N4_PD.txt,11,13.137817,-54.550171,-35.125732,0.8,4.6,48.263549,1.2090000000000005,,PD
47,./Data/PD/N5_PD.txt,1,21.255493,-69.519043,-50.170898,0.5,1.2,71.426391,0.4283999999999999,3.5,PD
48,./Data/PD/N5_PD.txt,2,16.952515,-68.786621,-46.417236,0.5,1.3,63.369751,0.44870000000000015,,PD
49,./Data/PD/N5_PD.txt,3,15.884399,-67.962646,-46.37146,0.5,1.5,62.255859,0.45529999999999976,,PD
50,./Data/PD/N5_PD.txt,4,14.694214,-67.825317,-46.051025,0.5,1.6,60.745239000000005,0.4665999999999997,,PD
51,./Data/PD/N5_PD.txt,5,14.221191,-67.733765,-46.37146,0.5,1.7,60.592651,0.47120000000000034,,PD
52,./Data/PD/N5_PD.txt,6,14.099121,-67.886353,-44.830322,0.5,1.7,58.929443000000006,0.47069999999999934,,PD
53,./Data/PD/N5_PD.txt,7,15.045166,-67.474365,-45.36438,0.5,1.6,60.409546,0.4685000000000002,,PD
54,./Data/PD/N5_PD.txt,8,13.763428,-67.672729,-46.188354,0.5,1.6,59.951781999999994,0.47760000000000036,,PD
55,./Data/PD/N5_PD.txt,9,14.61792,-67.550659,-45.135498,0.5,1.8,59.753417999999996,0.4736000000000004,,PD
56,./Data/PD/N5_PD.txt,10,14.556885,-67.703247,-45.166016,0.5,1.4,59.722901,0.46589999999999987,,PD
57,./Data/PD/N5_PD.txt,11,13.839722,-67.749023,-45.593262,0.5,1.7,59.432984000000005,0.47409999999999997,,PD
58,./Data/PD/N5_PD.txt,12,14.419556,-67.596436,-44.47937,0.5,1.5,58.898926,0.47180000000000033,,PD
59,./Data/PD/N5_PD.txt,13,13.519287,-67.29126,-44.418335,0.5,1.6,57.937622,0.4765999999999998,,PD
60,./Data/PD/N5_PD.txt,14,12.023926,-67.276001,-42.160034,0.5,1.6,54.18396,0.4735999999999997,,PD
61,./Data/PD/N5_PD.txt,15,13.763428,-67.687988,-45.120239,0.5,1.4,58.883666999999996,0.4735999999999997,,PD
62,./Data/PD/N5_PD.txt,16,13.458252,-67.596436,-45.074463,0.5,1.7,58.532715,0.4760999999999996,,PD
63,./Data/PD/N5_PD.txt,17,14.053345,-67.596436,-43.655396,0.5,1.5,57.708741,0.46809999999999974,,PD
64,./Data/PD/N5_PD.txt,18,13.99231,-67.520142,-45.959473,0.6,1.4,59.951783000000006,0.4817,,PD
65,./Data/PD/N5_PD.txt,19,13.595581,-67.5354,-45.120239,0.5,1.9,58.715819999999994,0.4777000000000001,,PD
66,./Data/PD/N6_PD.txt,1,27.155762,-63.878174,-60.109253,2.9,1.1,87.265015,0.47989999999999994,2.4,PD
67,./Data/PD/N6_PD.txt,2,21.784668,-62.993164,-43.00415,0.5,1.5,64.788818,0.4579999999999998,,PD
68,./Data/PD/N6_PD.txt,3,20.731812,-62.550659,-40.669556,0.5,1.6,61.401368000000005,0.4631999999999998,,PD
69,./Data/PD/N6_PD.txt,4,18.946533,-62.321777,-39.128418,0.5,1.5,58.074951,0.47019999999999984,,PD
70,./Data/PD/N6_PD.txt,5,18.504028,-61.864014,-39.067383,0.5,1.6,57.571411,0.47820000000000035,,PD
71,./Data/PD/N6_PD.txt,6,17.741089,-61.650391,-40.318604,0.5,1.6,58.059692999999996,0.48730000000000046,,PD
72,./Data/PD/N6_PD.txt,7,18.35144,-61.452026,-39.082642,0.5,1.3,57.434082000000004,0.4772999999999996,,PD
73,./Data/PD/N6_PD.txt,8,18.824463,-61.604614,-39.387817,0.5,1.4,58.21228,0.4774000000000001,,PD
74,./Data/PD/N6_PD.txt,9,18.015747,-61.619873,-38.884277,0.5,1.6,56.900024,0.47860000000000014,,PD
75,./Data/PD/N6_PD.txt,10,18.061523,-61.345215,-38.533325,0.5,1.3,56.594848,0.4826999999999998,,PD
76,./Data/PD/N6_PD.txt,11,17.420654,-61.574097,-39.967651,0.5,1.6,57.388304999999995,0.4862000000000002,,PD
77,./Data/PD/N6_PD.txt,12,18.244629,-61.329956,-39.189453,0.5,1.7,57.434082000000004,0.47960000000000064,,PD
78,./Data/PD/N6_PD.txt,13,17.634277,-61.329956,-37.831421,0.5,1.7,55.465698,0.4820999999999998,,PD
79,./Data/PD/N6_PD.txt,14,17.10022,-61.253662,-39.525146,0.6,1.5,56.625366,0.49639999999999984,,PD
80,./Data/PD/N6_PD.txt,15,17.619019,-61.345215,-37.953491,0.5,1.5,55.57251,0.482,,PD
81,./Data/PD/N6_PD.txt,16,17.786865,-61.390991,-38.151855,0.5,1.4,55.938719999999996,0.4813000000000003,,PD
82,./Data/PD/N6_PD.txt,17,17.283325,-61.162109,-39.540405,0.6,1.5,56.82373,0.4938000000000002,,PD
83,./Data/PD/N6_PD.txt,18,17.649536,-61.253662,-38.47229,0.5,1.5,56.121826,0.48529999999999945,,PD
84,./Data/PD/N6_PD.txt,19,17.634277,-61.116333,-38.136597,0.5,1.6,55.770874000000006,0.48340000000000033,,PD
85,./Data/PD/N6_PD.txt,20,17.481689,-61.268921,-38.304443,0.5,1.5,55.786131999999995,0.48729999999999973,,PD
86,./Data/PD/N6_PD.txt,21,17.985229,-61.314697,-38.273926,0.5,1.7,56.25915500000001,0.4856999999999999,,PD
87,./Data/PD/N6_PD.txt,22,17.130737,-61.101074,-38.426514,0.5,1.5,55.557250999999994,0.48830000000000023,,PD
88,./Data/PD/N6_PD.txt,23,16.627197,-60.826416,-39.570923,0.6,1.5,56.19812,0.5039999999999999,,PD
89,./Data/PD/N7_PD.txt,1,-5.493164,-62.454224,-45.013428,0.4,2.0,39.520264,0.4929000000000002,3.4,PD
90,./Data/PD/N7_PD.txt,2,-5.615234,-61.767578,-43.47229,0.4,2.0,37.857056,0.5009000000000001,,PD
91,./Data/PD/N7_PD.txt,3,-5.706787,-61.599731,-43.136597,0.4,2.4,37.42981,0.5040999999999998,,PD
92,./Data/PD/N7_PD.txt,4,-6.652832,-61.569214,-43.777466,0.5,1.7,37.124634,0.5152999999999999,,PD
93,./Data/PD/N7_PD.txt,5,-6.30188,-61.279297,-42.938232,0.4,2.0,36.636352,0.5100999999999999,,PD
94,./Data/PD/N7_PD.txt,6,-6.088257,-61.355591,-43.457031,0.5,2.0,37.368774,0.5156999999999997,,PD
95,./Data/PD/N7_PD.txt,7,-5.661011,-61.61499,-41.870117,0.4,2.0,36.209106,0.4971000000000003,,PD
96,./Data/PD/N7_PD.txt,8,-5.554199,-61.599731,-43.869019,0.5,1.9,38.314820000000005,0.5173000000000002,,PD
97,./Data/PD/N7_PD.txt,9,-6.164551,-61.294556,-43.289185,0.5,1.8,37.124634,0.5183999999999997,,PD
98,./Data/PD/N7_PD.txt,10,-5.630493,-61.203003,-41.503906,0.4,2.3,35.873413,0.5027000000000001,,PD
99,./Data/PD/N7_PD.txt,11,-6.225586,-61.019897,-42.694092,0.4,2.2,36.468506,0.5160000000000003,,PD
100,./Data/PD/N7_PD.txt,12,-6.195068,-61.203003,-42.953491,0.5,1.9,36.758423,0.5204000000000001,,PD
101,./Data/PD/N7_PD.txt,13,-5.950928,-61.035156,-43.243408,0.5,2.1,37.292480000000005,0.5225000000000002,,PD
102,./Data/PD/N7_PD.txt,14,-5.722046,-61.019897,-42.922974,0.5,1.9,37.200928000000005,0.5146999999999999,,PD
