Feature Value,Feature name,type
0.00084,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.00098,TTP_AHP,Intact
0.00096,TTP_AHP,Intact
0.00094,TTP_AHP,Intact
0.00096,TTP_AHP,Intact
0.0007,TTP_AHP,Intact
0.00098,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.00064,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.0009,TTP_AHP,Intact
0.00066,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.0009,TTP_AHP,Intact
0.00084,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.00072,TTP_AHP,Intact
0.00092,TTP_AHP,Intact
0.00096,TTP_AHP,Intact
0.00096,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.001,TTP_AHP,Intact
0.00074,TTP_AHP,Intact
0.00096,TTP_AHP,Intact
0.00098,TTP_AHP,Intact
0.00012,TTP_max,Intact
0.00014,TTP_max,Intact
0.00014,TTP_max,Intact
0.00014,TTP_max,Intact
0.00016,TTP_max,Intact
0.00016,TTP_max,Intact
0.00014,TTP_max,Intact
0.00014,TTP_max,Intact
0.00016,TTP_max,Intact
0.0001,TTP_max,Intact
0.0001,TTP_max,Intact
0.00012,TTP_max,Intact
0.0001,TTP_max,Intact
0.0001,TTP_max,Intact
0.00012,TTP_max,Intact
0.00016,TTP_max,Intact
0.00016,TTP_max,Intact
0.00018,TTP_max,Intact
0.00012,TTP_max,Intact
0.00014,TTP_max,Intact
0.00014,TTP_max,Intact
0.00012,TTP_max,Intact
0.00014,TTP_max,Intact
0.00012,TTP_max,Intact
0.00014,TTP_max,Intact
0.00016,TTP_max,Intact
0.00018,TTP_max,Intact
0.00012,TTP_max,Intact
0.00012,TTP_max,Intact
0.00012,TTP_max,Intact
-49.74146,threshold,Intact
-44.85864,threshold,Intact
-44.20251,threshold,Intact
-55.90222,threshold,Intact
-47.21997,threshold,Intact
-45.03796,threshold,Intact
-50.99268,threshold,Intact
-46.06409,threshold,Intact
-45.01123,threshold,Intact
-45.58179,threshold,Intact
-41.81287,threshold,Intact
-43.33875,threshold,Intact
-45.93274,threshold,Intact
-42.01123,threshold,Intact
-43.30823,threshold,Intact
-58.81067,threshold,Intact
-55.08752,threshold,Intact
-55.59106,threshold,Intact
-58.03247,threshold,Intact
-53.36328,threshold,Intact
-53.04285,threshold,Intact
-46.65698,threshold,Intact
-43.87988,threshold,Intact
-43.52893,threshold,Intact
-53.53491,threshold,Intact
-47.14148,threshold,Intact
-46.33276,threshold,Intact
-45.95508,threshold,Intact
-42.81177,threshold,Intact
-41.48425,threshold,Intact
-57.85913,min_AHP,Intact
-55.61609,min_AHP,Intact
-55.47876,min_AHP,Intact
-60.83081,min_AHP,Intact
-59.01501,min_AHP,Intact
-58.48096,min_AHP,Intact
-57.88965,min_AHP,Intact
-55.2804,min_AHP,Intact
-54.38013,min_AHP,Intact
-55.88147,min_AHP,Intact
-54.9812,min_AHP,Intact
-54.35559,min_AHP,Intact
-55.30164,min_AHP,Intact
-54.32507,min_AHP,Intact
-53.9436,min_AHP,Intact
-65.7229,min_AHP,Intact
-64.91418,min_AHP,Intact
-63.75452,min_AHP,Intact
-67.08093,min_AHP,Intact
-65.96704,min_AHP,Intact
-65.58557,min_AHP,Intact
-56.39209,min_AHP,Intact
-55.76648,min_AHP,Intact
-55.18665,min_AHP,Intact
-58.79919,min_AHP,Intact
-57.65479,min_AHP,Intact
-56.47986,min_AHP,Intact
-55.52234,min_AHP,Intact
-55.2782,min_AHP,Intact
-54.56104,min_AHP,Intact
34.24292,max,Intact
28.16992,max,Intact
27.07129,max,Intact
21.10889,max,Intact
15.29529,max,Intact
16.30237,max,Intact
34.24292,max,Intact
28.62769,max,Intact
26.76611,max,Intact
41.94263,max,Intact
39.92847,max,Intact
38.99768,max,Intact
41.9884,max,Intact
41.24072,max,Intact
39.82166,max,Intact
11.54761,max,Intact
9.594482,max,Intact
9.548706,max,Intact
30.31592,max,Intact
24.27344,max,Intact
23.05273,max,Intact
41.46252,max,Intact
38.50232,max,Intact
39.18896,max,Intact
28.35901,max,Intact
21.44678,max,Intact
22.39282,max,Intact
42.56116,max,Intact
40.19604,max,Intact
40.04346,max,Intact
amplitude,PD,0.926050389
amplitude,PD,0.496218463
amplitude,PD,0.367647047
amplitude,PD,0.890336133
amplitude,PD,0.602520994
amplitude,PD,0.483193293
amplitude,PD,1
amplitude,PD,0.682773075
amplitude,PD,0.594117626
amplitude,PD,0.764705852
amplitude,PD,0.486134427
amplitude,PD,0.459663859
amplitude,PD,0.952100812
amplitude,PD,0.730252089
amplitude,PD,0.69957981
amplitude,PD,0.943697472
amplitude,PD,0.769327709
amplitude,PD,0.676050431
amplitude,PD,0.073529409
amplitude,PD,0.02773109
amplitude,PD,0.015966387
amplitude,PD,0.046218465
