,Feature value,Feature name,Type
0,21.194458,peak,PD
1,19.943237,peak,PD
2,20.370483,peak,PD
3,15.014648,peak,PD
4,16.952515,peak,PD
5,21.784668,peak,PD
6,-5.615234,peak,PD
7,-4.608154,peak,PD
0,-58.456421,minAHP,PD
1,-54.56543,minAHP,PD
2,-56.610107,minAHP,PD
3,-55.984497,minAHP,PD
4,-68.786621,minAHP,PD
5,-62.993164,minAHP,PD
6,-61.767578,minAHP,PD
7,-60.073853,minAHP,PD
0,-33.676147,threshold,PD
1,-38.787842,threshold,PD
2,-41.275024,threshold,PD
3,-39.489746,threshold,PD
4,-46.417236,threshold,PD
5,-43.00415,threshold,PD
6,-43.47229,threshold,PD
7,-41.45813,threshold,PD
0,0.8,TTP-peak,PD
1,0.9,TTP-peak,PD
2,0.8,TTP-peak,PD
3,0.8,TTP-peak,PD
4,0.5,TTP-peak,PD
5,0.5,TTP-peak,PD
6,0.4,TTP-peak,PD
7,0.4,TTP-peak,PD
0,3.0,TTP-AHP,PD
1,3.6,TTP-AHP,PD
2,3.6,TTP-AHP,PD
3,4.5,TTP-AHP,PD
4,1.3,TTP-AHP,PD
5,1.5,TTP-AHP,PD
6,2.0,TTP-AHP,PD
7,1.7,TTP-AHP,PD
0,54.870605,amplitude,PD
1,58.731079,amplitude,PD
2,61.645507,amplitude,PD
3,54.504394,amplitude,PD
4,63.369751,amplitude,PD
5,64.788818,amplitude,PD
6,37.857056,amplitude,PD
7,36.849976,amplitude,PD
0,0.8621000000000002,width,PD
1,1.1666000000000003,width,PD
2,1.1559000000000006,width,PD
3,1.1878,width,PD
4,0.4487000000000001,width,PD
5,0.4579999999999998,width,PD
6,0.5009000000000001,width,PD
7,0.489,width,PD
0,28.16992,peak,Intact
1,15.29529,peak,Intact
2,28.62769,peak,Intact
3,39.92847,peak,Intact
4,41.24072,peak,Intact
5,9.594482,peak,Intact
6,24.27344,peak,Intact
7,38.50232,peak,Intact
8,21.44678,peak,Intact
9,40.19604,peak,Intact
0,-55.61609,minAHP,Intact
1,-59.01501,minAHP,Intact
2,-55.2804,minAHP,Intact
3,-54.9812,minAHP,Intact
4,-54.32507,minAHP,Intact
5,-64.91418,minAHP,Intact
6,-65.96704,minAHP,Intact
7,-55.76648,minAHP,Intact
8,-57.65479,minAHP,Intact
9,-55.2782,minAHP,Intact
0,-44.85864,threshold,Intact
1,-47.21997,threshold,Intact
2,-46.06409,threshold,Intact
3,-41.81287,threshold,Intact
4,-42.01123,threshold,Intact
5,-55.08752,threshold,Intact
6,-53.36328,threshold,Intact
7,-43.87988,threshold,Intact
8,-47.14148,threshold,Intact
9,-42.81177,threshold,Intact
0,0.7,TTP-peak,Intact
1,0.8,TTP-peak,Intact
2,0.7,TTP-peak,Intact
3,0.5,TTP-peak,Intact
4,0.5,TTP-peak,Intact
5,0.8,TTP-peak,Intact
6,0.7,TTP-peak,Intact
7,0.7,TTP-peak,Intact
8,0.8,TTP-peak,Intact
9,0.6,TTP-peak,Intact
0,5.0,TTP-AHP,Intact
1,5.0,TTP-AHP,Intact
2,4.7,TTP-AHP,Intact
3,4.9,TTP-AHP,Intact
4,5.0,TTP-AHP,Intact
5,5.0,TTP-AHP,Intact
6,5.0,TTP-AHP,Intact
7,4.6,TTP-AHP,Intact
8,5.0,TTP-AHP,Intact
9,4.8,TTP-AHP,Intact
0,73.02856,amplitude,Intact
1,62.515260000000005,amplitude,Intact
2,74.69178,amplitude,Intact
3,81.74134,amplitude,Intact
4,83.25195,amplitude,Intact
5,64.682002,amplitude,Intact
6,77.63672,amplitude,Intact
7,82.3822,amplitude,Intact
8,68.58826,amplitude,Intact
9,83.00781,amplitude,Intact
0,1.3754999999999995,width,Intact
1,1.5578999999999994,width,Intact
2,1.3939,width,Intact
3,0.8191999999999999,width,Intact
4,0.8003,width,Intact
5,1.2842000000000005,width,Intact
6,1.1988,width,Intact
7,1.0958000000000006,width,Intact
8,1.4976000000000007,width,Intact
9,1.0805999999999998,width,Intact
