,Unnamed: 0,file_name,spike_number,max,min_AHP,threshold,TTP_max,TTP_AHP,amplitude,spike_width,Type
0,0,./Data/PD/N1_PD.txt,1,29.846191,-60.012817,-40.634155,0.00016,0.00052,70.480346,0.00015734,PD
11,11,./Data/PD/N2_PD.txt,1,23.666382,-55.160522,-45.516968,0.00016,0.00074,69.18334999999999,0.00023132,PD
24,24,./Data/PD/N3_PD.txt,1,23.742676,-57.449341,-49.423218,0.00018,0.0007,73.165894,0.0002394,PD
36,36,./Data/PD/N4_PD.txt,1,17.181396,-56.32019,-47.439575,0.00018,0.0009,64.620971,0.00025416,PD
47,47,./Data/PD/N5_PD.txt,1,21.255493,-69.519043,-50.170898,0.0001,0.00024,71.426391,8.567999999999998e-05,PD
66,66,./Data/PD/N6_PD.txt,1,27.155762,-63.878174,-43.965454,8e-05,0.00022,71.121216,8.356000000000002e-05,PD
89,89,./Data/PD/N7_PD.txt,1,-5.493164,-62.454224,-45.013428,8e-05,0.0004,39.520264,9.857999999999995e-05,PD
105,105,./Data/PD/N8_PD.txt,1,-4.013062,-60.440063,-42.541504,8e-05,0.00032,38.528442000000005,9.818000000000004e-05,PD
